tbl_Point_Locations,,,,,,,,,,,,,,,
PointLocationID,ParkID,Transect,PointID,OldSiteID,YearStart,YearEnd,Active,Datum,UTM Zone,UTM Easting,UTM Northing,Elevation,Ecoregion,Comments,TransectID
720,WLNP,Eskerine,117,,2014,,Yes,NAD 83,12,290481,5441890,1329,Foothills Grassland,,13
520,WLNP,Lower Rowe Trail,118,,2007,2007,No,NAD 83,11,714277,5437898,2013,Upper Subalpine,,10
719,WLNP,Eskerine,118,,2014,,Yes,NAD 83,12,290345,5441598,1327,Foothills Grassland,,13
521,WLNP,Lower Rowe Trail,119,,2007,2007,No,NAD 83,11,714027,5437691,2077,Upper Subalpine,,10
718,WLNP,Eskerine,119,,2014,,Yes,NAD 83,12,290254,5441344,1327,Foothills Grassland,,13
550,WLNP,Summit Lake,120,,2007,,Yes,NAD 83,11,717812,5433027,2018,Upper Subalpine,,8
551,WLNP,Summit Lake,121,,2007,,Yes,NAD 83,11,717850,5433336,2043,Upper Subalpine,,8
552,WLNP,Summit Lake,122,,2007,,Yes,NAD 83,11,717902,5433631,2098,Upper Subalpine,,8
553,WLNP,Summit Lake,123,,2007,,No,NAD 83,11,718120,5433850,2128,Upper Subalpine,,8
472,WLNP,Cameron Lake,124,124,2007,,Yes,NAD 83,11,716757,5433342,1828,Lower Subalpine,,7
554,WLNP,Summit Lake,125,,2007,,Yes,NAD 83,11,717353,5432814,1965,Upper Subalpine,,8
555,WLNP,Summit Lake,126,,2007,,Yes,NAD 83,11,717707,5432373,1937,Upper Subalpine,,8
556,WLNP,Summit Lake,127,,2007,,Yes,NAD 83,11,717969,5432213,1907,Lower Subalpine,,8
557,WLNP,Summit Lake,128,,2007,,Yes,NAD 83,11,718382,5433997,2178,Upper Subalpine,,8
558,WLNP,Summit Lake,129,,2007,,Yes,NAD 83,11,718653,5434134,2209,Upper Subalpine,,8
728,WLNP,Cardston Gate South,150,,2015,,Yes,NAD 83,12,294046,5443397,1304,Foothills Parkland,,14
729,WLNP,Cardston Gate South,151,,2015,,Yes,NAD 83,12,294198,5443655,1314,Foothills Parkland,,14
730,WLNP,Cardston Gate South,152,,2015,,Yes,NAD 83,12,294448,5443955,1308,Foothills Parkland,,14
731,WLNP,Cardston Gate South,153,,2015,,Yes,NAD 83,12,294639,5444231,1308,Foothills Parkland,,14
732,WLNP,Cardston Gate South,154,,2015,,Yes,NAD 83,12,294782,5444469,1300,Foothills Parkland,,14
733,WLNP,Stoney Flats,156,,2015,,Yes,NAD 83,12,294139,5439717,1358,Foothills Parkland,,15
734,WLNP,Stoney Flats,157,,2015,,Yes,NAD 83,12,293781,5439670,1340,Foothills Parkland,,15
735,WLNP,Stoney Flats,158,,2015,,Yes,NAD 83,12,293285,5439595,1321,Foothills Parkland,,15
736,WLNP,Stoney Flats,159,,2015,,Yes,NAD 83,12,293026,5439007,1297,Foothills Parkland,,15
737,WLNP,Stoney Flats,160,,2015,,Yes,NAD 83,12,292622,5439132,1297,Foothills Parkland,,15
738,WLNP,Stoney Flats,161,,2015,,Yes,NAD 83,12,292238,5439066,1288,Foothills Parkland,,15
739,WLNP,Blakiston Fan,162,,2015,,Yes,NAD 83,12,290933,5440520,1283,Foothills Parkland,,16
740,WLNP,Blakiston Fan,163,,2015,,Yes,NAD 83,12,290788,5440230,1285,Foothills Parkland,,16
741,WLNP,Blakiston Fan,164,,2015,,Yes,NAD 83,12,290652,5439923,1286,Foothills Parkland,,16
742,WLNP,Blakiston Fan,165,,2015,,Yes,NAD 83,12,290494,5439499,1289,Foothills Parkland,,16
747,WLNP,Blakiston Fan,166,,2015,,Yes,NAD 83,12,290176,5439054,1275,Foothills Parkland,,16
744,WLNP,Blakiston Fan,167,,2015,,Yes,NAD 83,12,289873,5438659,1286,Foothills Parkland,,16
745,WLNP,Blakiston Fan,168,,2015,,Yes,NAD 83,12,289682,5438932,1294,Foothills Parkland,,16
746,WLNP,Blakiston Fan,169,,2015,,Yes,NAD 83,12,289828,5439332,1288,Foothills Parkland,,16
473,WLNP,Cardston Entrance,550,,2007,,Yes,NAD 83,12,294965,5445903,1290,Foothills Parkland,,9
474,WLNP,Cardston Entrance,551,,2007,,Yes,NAD 83,12,294765,5445892,1286,Foothills Parkland,,9
475,WLNP,Cardston Entrance,552,,2007,,Yes,NAD 83,12,294554,5445882,1285,Foothills Parkland,,9
476,WLNP,Cardston Entrance,553,,2007,,Yes,NAD 83,12,294330,5445875,1280,Foothills Parkland,,9
477,WLNP,Cardston Entrance,554,,2007,,Yes,NAD 83,12,294060,5445838,1285,Foothills Parkland,,9
478,WLNP,Cardston Entrance,555,,2007,,Yes,NAD 83,12,293895,5445655,1285,Foothills Parkland,,9
479,WLNP,Cardston Entrance,556,,2007,,Yes,NAD 83,12,293729,5445510,1285,Foothills Parkland,,9
480,WLNP,Cardston Entrance,557,,2007,,Yes,NAD 83,12,293667,5445323,1285,Foothills Parkland,,9
569,WLNP,Yarrow Cabin Trail,567,,2007,,Yes,NAD 83,12,283190,5453590,1525,Montane,,6
570,WLNP,Yarrow Cabin Trail,568,,2007,,Yes,NAD 83,12,283381,5453589,1546,Montane,,6
571,WLNP,Yarrow Cabin Trail,569,,2007,,Yes,NAD 83,12,283553,5453609,1557,Montane,,6
572,WLNP,Yarrow Cabin Trail,570,,2007,,Yes,NAD 83,12,283727,5453629,1569,Montane,,6
573,WLNP,Yarrow Cabin Trail,571,,2007,,Yes,NAD 83,12,283876,5453725,1600,Montane,,6
574,WLNP,Yarrow Cabin Trail,572,,2007,,Yes,NAD 83,12,284035,5453702,1627,Montane,,6
575,WLNP,Yarrow Cabin Trail,573,,2007,,Yes,NAD 83,12,284021,5453562,1655,Montane,,6
576,WLNP,Yarrow Cabin Trail,574,,2007,,Yes,NAD 83,12,284175,5453559,1677,Montane,,6
525,WLNP,Prairie Trail,575,,2007,,Yes,NAD 83,12,289892,5445712,1344,Foothills Parkland,,3
526,WLNP,Prairie Trail,576,,2007,,Yes,NAD 83,12,289859,5445503,1345,Foothills Parkland,,3
527,WLNP,Prairie Trail,577,,2007,,Yes,NAD 83,12,289781,5445284,1347,Foothills Parkland,,3
528,WLNP,Prairie Trail,578,,2007,,Yes,NAD 83,12,289698,5445099,1346,Foothills Parkland,,3
529,WLNP,Prairie Trail,579,,2007,,Yes,NAD 83,12,289738,5444898,1347,Foothills Parkland,,3
530,WLNP,Prairie Trail,580,,2007,,Yes,NAD 83,12,289665,5444589,1350,Foothills Parkland,,3
531,WLNP,Prairie Trail,581,,2007,,Yes,NAD 83,12,289566,5444357,1350,Foothills Parkland,,3
532,WLNP,Prairie Trail,582,,2007,,Yes,NAD 83,12,289484,5444163,1350,Foothills Parkland,,3
533,WLNP,Prairie Trail,583,,2007,,Yes,NAD 83,12,289366,5443880,1359,Foothills Parkland,,3
534,WLNP,Prairie Trail,584,,2007,,Yes,NAD 83,12,289249,5443603,1370,Foothills Parkland,,3
579,WLNP,Yarrow Cabin Trail,590,,2007,,Yes,NAD 83,12,284382,5453351,1688,Foothills Parkland,,6
580,WLNP,Yarrow Cabin Trail,591,,2007,,Yes,NAD 83,12,284454,5453067,1658,Montane,,6
522,WLNP,Lower Rowe Trail,900,,2007,2007,No,NAD 83,11,713502,5438471,,Upper Subalpine,,10
