organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-151,214815,2021-06-13 05:29:15,305741,1SPT,285086,Transcribed,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,Aves,433.85,600.00,3.33,1.68kHz,7.56kHz,2557126,2,Song,1,,f,1,Steve Ogle,1211,,-27.21,-38.45,2,0.000131,-0.115915,0.123926,-18.14,-33.61,-48.12,2,0,-0.058696,0.069496,-23.16,-28.43,-36.78,2,-0.000082,-0.100198,0.105067,-19.57,-38.01,-48.83,2,0,-0.042902,0.03951,-27.35,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285086,https://wildtrax-aru.s3.us-west-2.amazonaws.com/b02a8488-91e3-40d0-ba6c-1a34338e646b/140eb1fe54dd43f29461f88ba59752be.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/b02a8488-91e3-40d0-ba6c-1a34338e646b/140eb1fe54dd43f29461f88ba59752be.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,WISN,Wilson's Snipe,GALLINAGO DELICATA,Aves,0.00,600.00,2.08,0.23kHz,2.80kHz,2596920,1,Call,1,,f,1,Steve Ogle,1211,,-14.08,-34.11,2,-0.000111,-0.400371,0.386368,-7.95,-37.26,-41.6,2,0.000012,-0.051239,0.047911,-25.81,-15.64,-32.13,2,-0.000013,-0.497077,0.42422,-6.07,-37.79,-40.98,2,-0.000015,-0.050809,0.043692,-25.88,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/ec1c8c19d3a1402eae111563f1184f23.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/ec1c8c19d3a1402eae111563f1184f23.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,VESP,Vesper Sparrow,POOECETES GRAMINEUS,Aves,0.23,600.00,2.84,1.03kHz,7.14kHz,2596918,1,Song,1,,f,1,Steve Ogle,1211,,-13.9,-34.11,2,-0.000145,-0.399905,0.397683,-7.96,-14.48,-38.17,2,0,-0.376496,0.372962,-8.48,-15.72,-31.72,2,0.000051,-0.480664,0.442283,-6.36,-16.15,-35.83,2,0,-0.411258,0.409936,-7.72,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/a459aed6ad7c46a39fa769f000425021.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/a459aed6ad7c46a39fa769f000425021.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,CEDW,Cedar Waxwing,BOMBYCILLA CEDRORUM,Aves,0.46,600.00,2.15,5.04kHz,9.01kHz,2596944,1,Song,1,,f,2,Steve Ogle,1211,,-13.98,-31.6,2,-0.000257,-0.424508,0.427663,-7.38,-34.09,-47.03,2,0,-0.102271,0.096194,-19.8,-15.61,-31.76,2,0.000116,-0.50004,0.444917,-6.02,-32.66,-46.12,2,0,-0.111117,0.108359,-19.08,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/b8d039ce8f4f442ebd010edc504bb03f.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/b8d039ce8f4f442ebd010edc504bb03f.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,BHGR,Black-headed Grosbeak,PHEUTICUS MELANOCEPHALUS,Aves,0.90,600.00,2.80,0.14kHz,6.26kHz,2596919,1,Song,1,,f,1,Steve Ogle,1211,,-14.16,-32.46,2,-0.000099,-0.402575,0.384673,-7.9,-14.65,-34.09,2,0.000044,-0.365383,0.367492,-8.7,-15.46,-31.84,2,-0.000007,-0.503197,0.414891,-5.97,-15.92,-34.42,2,0.000038,-0.412183,0.444441,-7.04,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/5080443da8c04a13afcc77a2ea8effae.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/5080443da8c04a13afcc77a2ea8effae.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,CCSP,Clay-colored Sparrow,SPIZELLA PALLIDA,Aves,2.81,600.00,1.93,3.46kHz,7.47kHz,2596922,1,Song,1,,f,2,Steve Ogle,1211,,-24.07,-32.4,2,0.000107,-0.315667,0.235813,-10.02,-31.4,-39.64,2,0,-0.109711,0.104076,-19.19,-22.84,-31.43,2,-0.000064,-0.248499,0.238286,-12.09,-29.31,-39.41,2,0,-0.123618,0.121016,-18.16,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/422d01e162e74aef9a83378411ea0e36.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/422d01e162e74aef9a83378411ea0e36.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,GRCA,Gray Catbird,DUMETELLA CAROLINENSIS,Aves,3.60,600.00,3.11,1.07kHz,7.05kHz,2596924,1,Song,1,,f,2,Steve Ogle,1211,,-24.07,-33.28,2,-0.000029,-0.315006,0.234661,-10.03,-24.95,-38.07,2,0,-0.185184,0.175453,-14.65,-22.95,-32.96,2,0.000019,-0.25047,0.23392,-12.02,-23.76,-38.92,2,0,-0.22299,0.222663,-13.03,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/b1cdda8273af4221a5fc8edb9e063b73.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/b1cdda8273af4221a5fc8edb9e063b73.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,RNSA,Red-naped Sapsucker,SPHYRAPICUS NUCHALIS,Aves,3.81,600.00,2.58,0.70kHz,4.16kHz,2596921,1,Non-vocal,1,,f,2,Steve Ogle,1211,,-23.93,-33.19,2,0.000057,-0.283063,0.208232,-10.96,-24.98,-38.57,2,0,-0.17593,0.178114,-14.99,-22.99,-32.91,2,0.000069,-0.231447,0.212409,-12.71,-24.08,-40.07,2,0,-0.227353,0.218346,-12.87,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/9b27fa54782f452b95bca6c1b59f7b5f.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/9b27fa54782f452b95bca6c1b59f7b5f.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,EAKI,Eastern Kingbird,TYRANNUS TYRANNUS,Aves,4.36,600.00,0.86,2.80kHz,8.68kHz,2596923,1,Song,1,,f,2,Steve Ogle,1211,,-26.13,-30.7,2,-0.000483,-0.160393,0.17758,-15.01,-32.46,-37.72,2,-0.000001,-0.113211,0.106681,-18.92,-26.64,-30.54,2,-0.000032,-0.161329,0.173345,-15.22,-31.44,-37.77,2,0.000001,-0.141938,0.122494,-16.96,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/c5ef064c70224365b2a47cc34bdd304e.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/c5ef064c70224365b2a47cc34bdd304e.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,AMRE,American Redstart,SETOPHAGA RUTICILLA,Aves,6.09,600.00,1.84,2.10kHz,8.12kHz,2596929,1,Song,1,,f,1,Steve Ogle,1211,,-25.59,-35.02,2,0.000092,-0.159247,0.12932,-15.96,-30.94,-39.63,2,0,-0.10198,0.098558,-19.83,-23.9,-33.98,2,-0.000149,-0.168477,0.14609,-15.47,-30.44,-38.92,2,0,-0.108933,0.116626,-18.66,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/e8533dfba71843faa85f5dfb8f2c1c05.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/e8533dfba71843faa85f5dfb8f2c1c05.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,UNKN,Unidentified signal,"",Unknown,7.10,600.00,2.05,0.05kHz,1.82kHz,2596936,1,Call,1,,f,2,Steve Ogle,1211,,-29.4,-35.23,2,-0.000032,-0.121417,0.126938,-17.93,-36.65,-41.14,2,-0.000002,-0.043144,0.050445,-25.94,-28.56,-35.36,2,0.000007,-0.155718,0.135794,-16.15,-35.74,-41.01,2,-0.000023,-0.044479,0.051154,-25.82,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/ea7ba1597ff64ee19b1ab2d0d281e5de.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/ea7ba1597ff64ee19b1ab2d0d281e5de.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,7.38,600.00,2.34,0.33kHz,5.32kHz,2596932,1,Song,1,,f,1,Steve Ogle,1211,,-26.93,-35.22,2,-0.000024,-0.147472,0.15437,-16.23,-27.73,-38.74,2,0.000002,-0.148757,0.132324,-16.55,-27.05,-35.39,2,-0.00004,-0.172737,0.152529,-15.25,-28.38,-38.92,2,0.000004,-0.129343,0.156462,-16.11,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/f77db35e591841d69b5f641ecb37aa5d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/f77db35e591841d69b5f641ecb37aa5d.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,HOWR,House Wren,TROGLODYTES AEDON,Aves,8.01,600.00,2.08,1.12kHz,6.91kHz,2596933,1,Song,1,,f,1,Steve Ogle,1211,,-26.97,-35.24,2,-0.000124,-0.151393,0.153602,-16.27,-27.76,-39.21,2,0,-0.148277,0.130363,-16.58,-26.73,-35.31,2,0.000088,-0.192678,0.180272,-14.3,-28.42,-39.68,2,0,-0.148516,0.142906,-16.56,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/61093fbc9910490b81bcff647d103836.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/61093fbc9910490b81bcff647d103836.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,CARDSTON-GATE-SOUTH-152,214814,2021-06-13 05:58:20,305742,1SPT,285087,Transcribed,YEWA,Yellow Warbler,SETOPHAGA PETECHIA,Aves,9.33,600.00,2.05,1.54kHz,8.22kHz,2596935,1,Song,1,,f,2,Steve Ogle,1211,,-26.74,-34.16,2,-0.000143,-0.150455,0.134449,-16.45,-27.69,-36.96,2,0,-0.118394,0.12264,-18.23,-25.79,-34.28,2,-0.000094,-0.183838,0.176047,-14.71,-26.58,-36.81,2,0.000001,-0.153916,0.159288,-15.96,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285087,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/80db5f1330184439bcb4a25d816de23c.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/a12ae97f-c1e6-4d74-b20b-a6c42f37e738/80db5f1330184439bcb4a25d816de23c.mp3
