prjct_d,locatin,year,elevation,slope,aspect,TPI,northness
999,Horseshoe Basin_48,2012,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_48,2013,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_48,2014,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_48,2015,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_48,2016,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_48,2017,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_48,2018,1359,5.142933756063042,109.55820155904303,-91.03403437013526,-0.3347642304018479
999,Horseshoe Basin_49,2007,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2008,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2009,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2010,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2012,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2013,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2014,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2015,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2016,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2017,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_49,2018,1352,4.0517109305366015,42.89700048168217,-95.3364671408076,0.7325785345221028
999,Horseshoe Basin_50,2007,1574,2.13606840267316,24.530472698369987,-0.908580324165996,0.9097405880370071
999,Horseshoe Basin_50,2009,1574,2.13606840267316,24.530472698369987,-0.908580324165996,0.9097405880370071
