locatin,year,landCover_2016,landCover_2019
Cameron Lake_6,2015,210,210
Cardston Gate South_150,2015,100,100
Cardston Gate South_150,2016,100,100
Cardston Gate South_150,2017,100,100
Cardston Gate South_151,2015,100,100
Cardston Gate South_151,2016,100,100
Cardston Gate South_151,2017,100,100
Cardston Gate South_152,2015,100,100
Cardston Gate South_152,2016,100,100
Cardston Gate South_152,2017,100,100
Cardston Gate South_153,2015,100,100
Cardston Gate South_153,2016,100,100
Cardston Gate South_153,2017,100,100
Cardston Gate South_154,2015,100,100
Cardston Gate South_154,2016,100,100
Cardston Gate South_154,2017,100,100
Eskerine_110,2015,220,100
Eskerine_110,2016,220,100
Eskerine_111,2015,50,50
Eskerine_111,2016,50,50
Eskerine_111,2017,50,50
Eskerine_112,2015,50,50
Eskerine_112,2016,50,50
Eskerine_112,2017,50,50
Eskerine_113,2015,220,220
Eskerine_113,2016,220,220
Eskerine_113,2017,220,220
Eskerine_114,2015,220,220
Eskerine_114,2016,220,220
Eskerine_114,2017,220,220
Eskerine_115,2016,50,50
Eskerine_115,2017,50,50
Eskerine_116,2016,220,220
Eskerine_116,2017,220,220
Eskerine_117,2015,210,210
Eskerine_117,2016,210,210
Eskerine_117,2017,210,210
Eskerine_118,2015,210,33
Eskerine_118,2016,210,33
Eskerine_118,2017,210,33
Eskerine_119,2015,210,33
Eskerine_119,2016,210,33
Eskerine_119,2017,210,33
Lower Mount Crandell_17,2007,210,33
Lower Rowe Trail_110,2007,50,50
Lower Rowe Trail_115,2007,50,50
Lower Rowe Trail_116,2007,100,100
Lower Rowe Trail_117,2007,50,50
Lower Rowe Trail_118,2007,210,100
Lower Rowe Trail_119,2007,210,50
Stoney Flats_156,2015,100,100
Stoney Flats_156,2016,100,100
Stoney Flats_157,2015,50,50
Stoney Flats_157,2016,50,50
Stoney Flats_158,2015,100,100
Stoney Flats_158,2016,100,100
Stoney Flats_159,2015,50,50
Stoney Flats_159,2016,50,50
Stoney Flats_160,2015,100,100
Stoney Flats_160,2016,100,100
Stoney Flats_161,2015,100,100
Stoney Flats_161,2016,100,100
Summit Lake_11,2007,210,33
Summit Lake_11,2014,210,33
Summit Lake_11,2015,210,33
Summit Lake_12,2007,210,33
Summit Lake_12,2014,210,33
Summit Lake_12,2015,210,33
Summit Lake_120,2007,210,50
Summit Lake_120,2015,210,50
Summit Lake_121,2007,100,100
Summit Lake_121,2015,100,100
Summit Lake_122,2007,100,100
Summit Lake_122,2015,100,100
Summit Lake_123,2015,100,100
Summit Lake_125,2007,50,50
Summit Lake_125,2014,50,50
Summit Lake_125,2015,50,50
Summit Lake_126,2007,100,100
Summit Lake_126,2015,100,100
Summit Lake_127,2007,100,100
Summit Lake_127,2015,100,100
Summit Lake_128,2007,100,100
Summit Lake_128,2015,100,100
Summit Lake_129,2007,100,100
Summit Lake_129,2015,100,100
Summit Lake_15,2007,210,33
Summit Lake_15,2015,210,33
Summit Lake_16,2007,210,33
Summit Lake_16,2015,210,33
Summit Lake_9,2007,210,33
Summit Lake_9,2014,210,33
Summit Lake_9,2015,210,33
Blakiston Fan_162,2018,100,100
Blakiston Fan_162,2019,100,100
Blakiston Fan_163,2018,100,100
Blakiston Fan_163,2019,100,100
Blakiston Fan_164,2018,100,100
Blakiston Fan_164,2019,100,100
Blakiston Fan_165,2018,100,100
Blakiston Fan_165,2019,100,100
Blakiston Fan_166,2018,100,100
Blakiston Fan_166,2019,100,100
Blakiston Fan_167,2018,100,100
Blakiston Fan_167,2019,100,100
Blakiston Fan_168,2018,100,100
Blakiston Fan_168,2019,100,100
Blakiston Fan_169,2018,100,100
Blakiston Fan_169,2019,100,100
Cameron Lake_1,2018,210,210
Cameron Lake_124,2018,100,100
Cameron Lake_3,2018,210,210
Cameron Lake_4,2018,210,33
Cameron Lake_6,2018,210,210
Cardston Gate South_150,2018,100,100
Cardston Gate South_150,2019,100,100
Cardston Gate South_151,2018,100,100
Cardston Gate South_151,2019,100,100
Cardston Gate South_152,2018,100,100
Cardston Gate South_152,2019,100,100
Cardston Gate South_153,2018,100,100
Cardston Gate South_153,2019,100,100
Cardston Gate South_154,2018,100,100
Cardston Gate South_154,2019,100,100
Eskerine_110,2019,220,100
Eskerine_111,2019,50,50
Eskerine_112,2019,50,50
Eskerine_113,2019,220,220
Eskerine_114,2019,220,220
Eskerine_116,2019,220,220
Eskerine_117,2019,210,210
Eskerine_118,2019,210,33
Eskerine_119,2019,210,33
Stoney Flats_156,2018,100,100
Stoney Flats_156,2019,100,100
